date,portfolio_value,portfolio_return,benchmark_value,benchmark_return,active_return
2023-12-01,100000.0,0.0,100000.0,0.0,0.0
2023-12-04,99910.08350735082,-0.00089916492649178,100192.32676589258,0.001923267658925809,-0.002822432585417589
2023-12-05,100067.37492983165,0.0006737492983166504,99974.66842125842,-0.00025331578741583094,0.0009270650857324814
2023-12-06,100395.17979863219,0.003951797986321948,100359.7295529399,0.003597295529399025,0.0003545024569229227
2023-12-07,100302.48722968907,0.003024872296890635,101319.40086438351,0.013194008643835131,-0.010169136346944496
2023-12-08,100087.6331127212,0.0008763311272119712,101002.8014189911,0.01002801418991095,-0.009151683062698979
2023-12-11,100341.001753016,0.0034100175301599034,100755.46376338796,0.007554637633879535,-0.004144620103719632
2023-12-12,100445.27615664573,0.004452761566457353,101269.93031400439,0.012699303140043972,-0.008246541573586619
2023-12-13,100720.67341619043,0.007206734161904205,101626.09714192462,0.016260971419246095,-0.00905423725734189
2023-12-14,103236.48666047791,0.03236486660477911,102199.92231447902,0.02199922314479008,0.010365643459989027
2023-12-15,102774.14808708528,0.02774148087085293,101556.84290028158,0.015568429002815742,0.012173051868037188
2023-12-18,102783.83699811176,0.02783836998111755,100953.33841675821,0.009533384167582204,0.018304985813535346
2023-12-19,103068.00270315714,0.030680027031571466,101121.52621101326,0.011215262110132684,0.019464764921438782
2023-12-20,103019.39295666997,0.03019392956669975,100706.00076115507,0.007060007611550789,0.02313392195514896
2023-12-21,103022.29558514906,0.030222955851490596,100636.74651951203,0.006367465195120214,0.02385549065637038
2023-12-22,103350.60908162256,0.033506090816225687,100527.91734719495,0.005279173471949505,0.02822691734427618
2023-12-27,104048.35095777517,0.0404835095777516,101537.05166087145,0.01537051660871458,0.025112992969037018
2023-12-28,104141.5390543064,0.04141539054306409,101566.73851998665,0.015667385199866546,0.025748005343197544
2023-12-29,104075.04952357513,0.04075049523575136,101883.33041723284,0.018833304172328313,0.021917191063423047
2024-01-02,103616.91151321193,0.03616911513211929,101705.24700327273,0.01705247003272725,0.019116645099392038
2024-01-03,103050.41364529068,0.030504136452906838,102071.3019027518,0.020713019027517987,0.009791117425388851
2024-01-04,103410.02794648282,0.03410027946482819,102793.53117829733,0.02793531178297326,0.006164967681854927
2024-01-05,103476.04701400449,0.03476047014004502,102892.46473090934,0.028924647309093388,0.005835822830951631
2024-01-08,103488.46844415617,0.034884684441561786,102378.00572843914,0.023780057284391365,0.011104627157170421
2024-01-09,103281.29636432964,0.03281296364329633,102140.55614439482,0.02140556144394834,0.011407402199347993
2024-01-10,103289.64694027341,0.03289646940273405,102437.3643503771,0.024373643503770914,0.008522825898963138
2024-01-11,102920.2118411947,0.029202118411947087,101833.85986685372,0.018338598668537154,0.010863519743409933
2024-01-12,103755.09061322612,0.0375509061322612,102556.08914239924,0.025560891423992427,0.01199001470826877
2024-01-15,103692.93385991266,0.036929338599126726,102823.2104892663,0.028232104892663035,0.008697233706463692
2024-01-16,102946.60952195863,0.029466095219586208,102734.16500821314,0.027341650082131297,0.002124445137454911
2024-01-17,102053.29426980347,0.02053294269803474,102457.148041641,0.024571480416410107,-0.004038537718375368
2024-01-18,102208.01556823726,0.02208015568237265,102417.57311096696,0.02417573110966953,-0.0020955754272968807
2024-01-19,102185.99169426569,0.021859916942656765,102407.68503940811,0.02407685039408114,-0.0022169334514243744
2024-01-22,102972.6554387381,0.029726554387381032,102704.48569724415,0.027044856972441522,0.00268169741493951
2024-01-23,102536.3246237245,0.025363246237245063,102664.9107665701,0.026649107665700944,-0.0012858614284558811
2024-01-24,103187.68822845562,0.031876882284556096,103327.78142017768,0.03327781420177689,-0.0014009319172207935
2024-01-25,103292.93596781965,0.032929359678196546,102684.70200598025,0.02684702005980255,0.006082339618393995
2024-01-26,103476.51083120028,0.03476510831200286,102684.70200598025,0.02684702005980255,0.007918088252200306
2024-01-29,103585.12857855123,0.03585128578551222,102833.10610897138,0.028331061089713838,0.007520224695798383
2024-01-30,103769.73830206023,0.037697383020602215,102961.71897255238,0.02961718972552374,0.008080193295078475
2024-01-31,104159.2858543806,0.04159285854380612,103021.07759449033,0.03021077594490329,0.011382082598902832
2024-02-01,104006.4110119084,0.04006411011908417,103001.29390322643,0.03001293903226432,0.010051171086819854
2024-02-02,103574.81761378005,0.03574817613780046,103030.9732141954,0.030309732141954093,0.005438443995846365
2024-02-05,102910.85571144188,0.02910855711441873,102239.48969700684,0.022394896970068467,0.006713660144350264
2024-02-06,103488.23145543034,0.03488231455430335,102249.38531671191,0.02249385316711905,0.012388461387184302
2024-02-07,103418.16520350444,0.03418165203504442,102704.48569724415,0.027044856972441522,0.007136795062602896
2024-02-08,103080.93360079911,0.030809336007991073,101903.11410849675,0.019031141084967507,0.011778194923023566
2024-02-09,102898.46967255155,0.028984696725515624,101893.21848879168,0.018932184887916703,0.01005251183759892
2024-02-12,103369.90552447595,0.03369905524475958,101903.11410849675,0.019031141084967507,0.014667914159792073
2024-02-13,102508.69993320457,0.025086999332045723,101329.28893594236,0.013292889359423521,0.011794109972622202
2024-02-14,102574.9623471972,0.025749623471972072,101784.3893164746,0.017843893164745994,0.007905730307226078
2024-02-15,103132.9876608484,0.031329876608483964,101794.28493617967,0.017942849361796798,0.013387027246687166
2024-02-16,103428.63125543194,0.034286312554319354,102397.78941970304,0.023977894197030336,0.010308418357289018
2024-02-19,103431.66077086827,0.03431660770868272,102615.44776433721,0.026154477643371976,0.008162130065310746
2024-02-20,103876.04863120453,0.038760486312045206,102447.25997008216,0.024472599700821496,0.01428788661122371
2024-02-21,103761.80251598958,0.037618025159895874,102902.36035061441,0.02902360350614419,0.008594421653751683
2024-02-22,104041.639179955,0.040416391799550144,103060.65252516439,0.030606525251643868,0.009809866547906276
2024-02-23,104257.91831152319,0.04257918311523179,103100.22745583844,0.031002274558384446,0.011576908556847343
2024-02-26,104128.32622953267,0.04128326229532675,103446.4986640536,0.03446498664053599,0.006818275654790762
2024-02-27,104175.5924400195,0.041755924400195044,103298.10210920869,0.03298102109208689,0.00877490330810815
2024-02-28,103972.6703520169,0.03972670352016894,103159.5860777764,0.031595860777763995,0.008130842742404942
2024-02-29,104229.9323424514,0.042299323424513924,103139.80238651249,0.0313980238651248,0.010901299559389122
2024-03-01,104510.21139192293,0.04510211391922936,103278.31086979856,0.03278310869798551,0.01231900522124385
2024-03-04,104575.06742340254,0.04575067423402546,103159.5860777764,0.031595860777763995,0.014154813456261461
2024-03-05,105032.12377346304,0.050321237734630486,103030.9732141954,0.030309732141954093,0.020011505592676393
2024-03-06,105636.23672212496,0.056362367221249654,103960.96521467004,0.039609652146700425,0.01675271507454923
2024-03-07,105828.48184074453,0.05828481840744537,104366.59504482316,0.043665950448231516,0.014618867959213855
2024-03-08,105923.56318939374,0.059235631893937324,103852.13604235295,0.038521360423529494,0.02071427147040783
2024-03-11,105785.78858713305,0.05785788587133056,103970.85328622887,0.03970853286228859,0.01814935300904197
2024-03-12,105926.7889220009,0.05926788922000892,104712.86625303832,0.04712866253038306,0.01213922668962586
2024-03-13,106070.08918908925,0.06070089189089245,104554.57407848834,0.04554574078488338,0.015155151106009068
2024-03-14,105308.3157502113,0.05308315750211312,104356.70697326431,0.04356706973264313,0.009516087769469994
2024-03-15,105344.2579826526,0.053442579826526115,104040.11507601813,0.04040115076018136,0.013041429066344756
2024-03-18,105331.86608722003,0.053318660872200274,104732.65749244846,0.047326574924484666,0.0059920859477156085
2024-03-19,105494.57959458078,0.05494579594580773,104435.84928646618,0.04435849286466187,0.01058730308114586
2024-03-20,105650.59364985269,0.056505936498526754,104653.50763110035,0.04653507631100351,0.009970860187523245
